Domain,Area,Indicator,Sex,Year,Source,Unit,Value
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","2.9"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","4.4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","3.6"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","2.5"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","2.2"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","2.4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","7.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","6.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","6.6"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","6.3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","5.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","5.6"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","5.3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","5.3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","4.6"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","4.4"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","4"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","3.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","3.6"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","2.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","2.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Democratic Republic of the Congo","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","71.5"
"Employment Indicators: Agriculture","Democratic Republic of the Congo","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","62.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1972","Labour force survey","%","9.8"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1973","Labour force survey","%","9.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1974","Labour force survey","%","9.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1975","Labour force survey","%","9.8"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1976","Labour force survey","%","9.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1977","Labour force survey","%","9.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1978","Labour force survey","%","8.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1979","Labour force survey","%","7.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1981","Labour force survey","%","7.4"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Labour force survey","%","7.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Labour force survey","%","6.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1985","Labour force survey","%","6.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Labour force survey","%","5.8"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1987","Labour force survey","%","5.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Labour force survey","%","5.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","5.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","5.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","5.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","5.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","5.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","4.4"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","3.9"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","3.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","3.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","3.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","3.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","3.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","3.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","3.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","2.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","2.4"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","2.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","2.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","2.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","2.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","2.1"
"Employment Indicators: Agriculture","Djibouti","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Household survey","%","1.2"
"Employment Indicators: Agriculture","Dominica","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","28.2"
"Employment Indicators: Agriculture","Dominica","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Population census","%","30.7"
"Employment Indicators: Agriculture","Dominica","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","23.7"
"Employment Indicators: Agriculture","Dominica","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","27.1"
"Employment Indicators: Agriculture","Dominica","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Population census","%","21"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1976","Official estimates","%","0.4"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1978","Official estimates","%","0.3"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","19.9"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","20"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","17.1"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","17.5"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","15.6"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","14.4"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","15.2"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","14.299999"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","14.2"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","13.6"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","12.8"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","12.4"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","9.7"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","8.9"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","8.8"
"Employment Indicators: Agriculture","Dominican Republic","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","9"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Labour force survey","%","6.4"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","6.9"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","6.9"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","7.4"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","6.6"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","7.3"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","6.2"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","6.6"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","6.8"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","7.3"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","29.6"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","29.800001"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","30.5"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","29.6"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","27.799999"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","27.9"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","25.3"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","26.2"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","26.9"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","27.7"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","29.7"
"Employment Indicators: Agriculture","Ecuador","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","31.8"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1970","Labour force survey","%","51.1"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1971","Labour force survey","%","54.2"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1972","Labour force survey","%","53.6"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1973","Labour force survey","%","51.3"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1974","Labour force survey","%","47.3"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1975","Labour force survey","%","49"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1977","Labour force survey","%","45.6"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1978","Labour force survey","%","42.1"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1979","Labour force survey","%","41.8"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1980","Labour force survey","%","42.4"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1981","Labour force survey","%","40.3"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1982","Labour force survey","%","39.1"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Labour force survey","%","41"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Labour force survey","%","40.6"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","42.4"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","39"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","31.3"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","38.4"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","35.3"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","35.2"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","34"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Population census","%","31"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","31.300001"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","30.9"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","31.199999"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","31.700001"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","31.6"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","29.9"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","28.2"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","29.2"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","27.1"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","28"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","27.5"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","25.8"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","25.5"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","25"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","21.6"
"Employment Indicators: Agriculture","Egypt","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","21.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1975","Labour force survey","%","48"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1978","Labour force survey","%","41.2"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1979","Labour force survey","%","42.7"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1980","Labour force survey","%","37.5"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1985","Labour force survey","%","34.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Labour force survey","%","1.6"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Labour force survey","%","8.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","10.2"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","7.4"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","10.4"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","35.8"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","28"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","27"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","28.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","26.4"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","25"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","22.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","21.6"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","21.799999"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","19.700001"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","18.300001"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","19.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","18.1"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","18.699999"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Household survey","%","20.9"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Household survey","%","20.8"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","21.6"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Household survey","%","19.6"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Household survey","%","18.8"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Household survey","%","18.7"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Household survey","%","18.6"
"Employment Indicators: Agriculture","El Salvador","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Household survey","%","16.7"
"Employment Indicators: Agriculture","Equatorial Guinea","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Population census","%","76.3"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","19.9"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","19.299999"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","18.200001"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","16"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","14.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","10.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","9.8"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","9.7"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","9.3"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","8.6"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","6"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","6"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","6.6"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","6.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","5.1"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","5.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","5.1"
